10317 c/ Fuente 24, Robledillo de la Jara
16706 c/ Fuente 5, Robledillo de la Jara
10319 c/ Real 22900, Berzosa de Lozoya
19077 c/ Real 2, Berzosa de Lozoya
10321 Avda Berrueco 1, Puentes Viejas
10323 c/ Soledad 1, Puentes Viejas
19075 Ctra M-126 (Buitrago) 5000, Puentes Viejas
12547 Ctra M-126 (Manjirón) 100, Buitrago del Lozoya
15769 Avda Madrid 99, Buitrago del Lozoya
12546 Avda Madrid 39, Buitrago del Lozoya
12545 Avda Madrid N, Buitrago del Lozoya
