17042 Pza Eliptica N Sn, Madrid
 5349 Avda Princesa Juana de Austria 5400, Madrid
07641 Ctra N-401 N 7.900, Madrid
11733 Avda María Zambrano 2, Getafe
11719 c/ Gabriela Mistral 3, Getafe
17399 c/ Concha Espina 3, Getafe
11714 c/ Madrid 152, Getafe
08333 Avda Ciudades 1, Getafe
08335 Avda Ciudades 10, Getafe
08336 c/ Sánchez Morate 31, Getafe
