OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
6806,8_1917,20160622,8,1917,AGUSTÍN DE FOXÁ-CHAMARTÍN,,S,,,,90,25,U,28,079,07901,,00073,Calle,de,Agustín de Foxá,N,40,,,28036,05,094,056,T0791986,,,1,A,1,079-05-086,86,,559-2,2,3,20150619,20150619,,442246,4480554,N,,AGUSTÍN DE FOXÁ-CHAMARTÍN,,1917
6807,8_19517,20160622,8,19517,BARBERO DE SEVILLA-ROZA MARTÍN,,S,,,,,,U,28,080,08022,,C0027,Calle,de,El Barbero de Sevilla,N,1,,,28222,01,016,,T080754,,,6,B2,2,080-009,984,,558-2,2,3,20150703,20150703,,424848,4478688,N,,BARBERO DE SEVILLA-ROZA MARTÍN,,
6808,8_1332,20160622,8,1332,AV.PUERTA DE HIERRO-AGRONOMOS,,S,,,,,,U,28,079,07901,,08014,Avda,de,Puerta de Hierro,N,4400,,,28040,09,033,093,T0796078,,,6,A,1,079-09-219,219,,559-1,2,3,20150519,20150519,,438324,4477179,N,,AV.PUERTA DE HIERRO-AGRONOMOS,,1332
6809,8_1334,20160622,8,1334,AV.PUERTA DE HIERRO-PALACIO MONCLOA,,S,,,,,,U,28,079,07901,,08014,Avda,de,Puerta de Hierro,N,6,,,28040,09,033,093,T0795487,,,6,A,1,079-09-219,219,,559-1,2,3,20150519,20150519,,438044,4477517,N,,AV.PUERTA DE HIERRO-PALACIO MONCLOA,,1334
6810,8_1336,20160622,8,1336,AV.PUERTA DE HIERRO-FILOSOFIA B,,S,,,,,,U,28,079,07901,,08014,Avda,de,Puerta de Hierro,N,5400,,,28040,09,033,093,T0794407,,,6,A,1,079-09-215,215,,559-1,2,3,20150519,20150519,,437710,4478018,N,,AV.PUERTA DE HIERRO-FILOSOFIA B,,1336
6811,8_1338,20160622,8,1338,FACULTAD DE VETERINARIA,,S,,,,,,U,28,079,07901,,08014,Avda,de,Puerta de Hierro,N,5600,,,28040,09,033,093,T0794407,,,6,A,1,079-09-215,215,,559-1,2,3,20150519,20150519,,437623,4478100,N,,FACULTAD DE VETERINARIA,,1338
6812,8_1341,20160622,8,1341,PARQUE DEPORTIVO PTA.DE HIERRO,,S,,,,,,U,28,079,07901,,08384,Ctra,de,El Pardo,N,22400,,,28035,09,043,093,T0792158,,,6,A,1,079-09-205,205,,559-1,2,3,20150519,20150519,,436945,4479200,N,,PARQUE DEPORTIVO PTA.DE HIERRO,,1341
6813,8_1343,20160622,8,1343,CTRA.MADRID AL PARDO-INST.LLORENTE,,S,,,,,,U,28,079,07901,,06801,Avda,de,Fuentelarreyna,N,2,,,28035,09,043,093,T0792408,,,6,A,1,079-09-205,205,,559-1,2,3,20150519,20150519,,436566,4480283,N,,CTRA.MADRID AL PARDO-INST.LLORENTE,,1343
6814,8_5793,20160622,8,5793,CTRA.MADRID AL PARDO-ARROYOFRESNO,,S,,,,,,U,28,079,07901,,06801,Avda,de,Fuentelarreyna,N,2,,,28035,09,043,093,T0792143,,,6,A,1,079-09-205,205,,559-1,2,3,20150519,20150519,,436523,4480501,N,,CTRA.MADRID AL PARDO-ARROYOFRESNO,,5793
6815,8_1346,20160622,8,1346,CTRA.MADRID AL PARDO-ARROYOFRESNO,,S,,,,,,U,28,079,07901,,08384,Ctra,de,El Pardo,N,23700,,,28035,09,043,093,T079916706,,,6,A,1,079-09-205,205,,559-1,2,3,20150519,20150519,,436438,4480607,N,,CTRA.MADRID AL PARDO-ARROYOFRESNO,,1346
