OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,8_09817,20160622,8,09817,ARISTÓTELES-POLIDEPORTIVO,,S,,,,,,Z,28,127,12715,,02555,Calle,,Aristóteles,N,1,,,28230,01,,,,,9,6,B2,3,127-005,1014,,533-IV,2,3,20010621,19010101,,422577,4485323,T,,ARISTÓTELES-POLIDEPORTIVO,,
2,8_06974,20160622,8,06974,EMPECINADO-CONVENTO,,S,,,,,,U,28,005,00501,0050101,A0235,Calle,del,Empecinado,N,16,,,28801,01,001,,T005996,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,468947,4481218,T,,EMPECINADO-CONVENTO,,
3,8_06981,20160622,8,06981,LUIS VIVES-BEATRÍZ GALINDO,,S,,,,,,U,28,005,00501,0050101,A0424,Calle,,Luis Vives,N,4,,,28803,03,001,,T0051080,0050101026,8,2,B3,3,005-021,877,,560-1,2,3,20010621,19010101,,468867,4480939,T,,LUIS VIVES-BEATRÍZ GALINDO,,
4,8_09820,20160622,8,09820,AV.ATENAS-C.C.ZOCO MONTERROZAS,,S,,,,,,Z,28,127,12715,,01060,Avda,de,Atenas,N,75,,,28230,01,,,,,9,6,B2,3,127-005,1014,,533-IV,2,3,20010621,19010101,,421874,4485808,T,,AV.ATENAS-C.C.ZOCO MONTERROZAS,,
5,8_10344,20160622,8,10344,VALDEMANCO-AV.DESVÍO,,S,,,,,,U,28,158,15801,1580101,A0016,Avda,del,Desvío,N,5500,,M-610,28729,01,001,41,T15831,,,1,C2,3,158-001,1078,,484-4,1,11,20010621,19010101,,444187,4524886,T,,VALDEMANCO-AV.DESVÍO,,
6,8_09826,20160622,8,09826,AV.ATENAS-URB.EL PINAR,,S,,,,,,Z,28,127,12715,,01060,Avda,de,Atenas,N,40,,,28230,01,,,,,9,6,B2,3,127-003,1012,,533-IV,2,3,20010621,19010101,,423173,4487379,T,,AV.ATENAS-URB.EL PINAR,,
7,8_09776,20160622,8,09776,PZA.VILLA-MAYOR,,S,,,,,,U,28,101,10101,,00043,Plaza,de la,Villa,N,11,,,28515,01,,11,,,12,2,C2,4,101-001,1133,,560-IV,3,11,20010621,19010101,,481270,4468923,T,,PZA.VILLA-MAYOR,,
8,8_09739,20160622,8,09739,COMUNIDAD EUROPEA-CENTRO COMERCIAL,,S,,,,,,U,28,100,10006,,A0030,Calle,de la,Comunidad Europea,N,43,,,28514,01,003,11,T100194,,,2,C2,3,100-001,1132,,560-4,1,0,20010621,19010101,,477572,4467437,T,,COMUNIDAD EUROPEA-CENTRO COMERCIAL,,
9,8_09740,20160622,8,09740,RONDA MANCHESTER-RONDA HISPANOAMERICANA,,S,,,,,,Z,28,100,10006,,A0075,Calle,,Ronda de Manchester,N,166,,,28514,01,,11,,,12,2,C2,4,100-001,1132,,560-IV,1,0,20010621,19010101,,477073,4467518,T,,RONDA MANCHESTER-RONDA HISPANOAMERICANA,,
10,8_09741,20160622,8,09741,RONDA HISPANOAMERICANA-PºMADRID,,S,,,,,,Z,28,100,10006,1000601,A0076,Ronda,,Hispano-Americana,N,185,,,28514,01,001,11,,,12,2,C2,4,100-001,1132,,560-IV,4,0,20010621,19010101,,477307,4466736,T,,RONDA HISPANOAMERICANA-PºMADRID,,
11,8_09742,20160622,8,09742,RONDA HISPANOAMERICANA-NUEVE,,S,,,,,,Z,28,100,10006,,A0076,Ronda,,Hispano-Americana,N,133,,,28514,01,,11,,,12,2,C2,4,100-001,1132,,560-IV,4,0,20010621,19010101,,477974,4466929,T,,RONDA HISPANOAMERICANA-NUEVE,,
12,8_09745,20160622,8,09745,MAYOR-PZA.VILLA,,S,,,,,,U,28,101,10101,,00032,Calle,,Mayor,N,28,,,28515,01,,11,,,12,2,C2,4,101-001,1133,,560-IV,3,11,20010621,19010101,,481271,4468912,T,,MAYOR-PZA.VILLA,,
13,8_09750,20160622,8,09750,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,Con Calle Gavilán,S,,,,,,Z,28,014,01407,0140701,10248,Avda,de,Alcalá de Henares,SN,SN,,,28500,01,001,,,,8,3,B3,3,014-003,888,,583-I,1,1,20010621,19010101,,461984,4462577,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,
14,8_09751,20160622,8,09751,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,S,,,,,,Z,28,014,01407,,10248,Avda,de,Alcalá de Henares,N,3,,,28500,01,,,,,8,3,B3,3,014-003,888,,583-1,1,8,20010621,19010101,,461946,4462572,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,
15,8_11930,20160622,8,11930,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,S,,,,,,U,28,005,00501,0050101,A0638,Plaza,,Rodríguez Marín,N,3,,,28801,01,001,,T005929,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,469243,4481462,T,,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,
16,8_09755,20160622,8,09755,CTRA.M209-URB.MONTEHERMOSO,Con Avda del Valle,S,,,,,,C,28,033,03302,0330201,00241,Ctra, ,Madrid,N,4200,,M-209,28510,01,002,11,T033142,,,3,C1,3,033-001,1122,,solape,1,7,20010621,19010101,,466548,4465101,T,,CTRA.M209-URB.MONTEHERMOSO,,
17,8_09756,20160622,8,09756,ALCALÁ-ESPINO,,S,,,,,,T,28,165,16501,,A0005,Calle,,Alcalá,N,18,,M-224,28511,01,,11,,,12,3,C2,4,165-001,1146,,583-II,2,1,20010621,19010101,,474472,4461053,T,,ALCALÁ-ESPINO,,
18,8_09757,20160622,8,09757,ALCALÁ-MAYOR,,S,,,,,,T,28,165,16501,1650101,99999,Calle,,Alcalá,N,76,,M-224,28511,01,001,11,,,12,3,C2,4,165-001,1146,,583-II,1,1,20010621,19010101,,474568,4460617,T,,ALCALÁ-MAYOR,,
19,8_15403,20160622,8,15403,PUERTO DE SOMOSIERRA-CTRA.M413,,S,,,,,,U,28,015,01503,0150302,C0001,Calle, ,Puerto de Somosierra,N,S/N,,,28939,01,009,,T0155457,0150302001,7,4,B3,2,015-002,672,,581-2,2,3,20030917,20030917,,420568,4461111,T,,PUERTO DE SOMOSIERRA-CTRA.M413,,
20,8_15457,20160622,8,15457,MÓSTOLES-ALCALDE P.DURÁN Y PÉREZ CASTRO,,S,,,,,,U,28,074,07402,0740201,C0028,Calle,de,Móstoles,N,12,,,28914,07,005,,T0741559,,,4,B1,2,074-034,773,,582-1,2,3,20040128,20040128,,432932,4463325,T,,MÓSTOLES-ALCALDE P.DURÁN Y PÉREZ CASTRO,,
21,8_12529,20160622,8,12529,CERVERA DE BUITRAGO-AYUNTAMIENTO,,S,,,,,,U,28,039,03901,,00022,Calle,de la,Iglesia,N,2,,,28193,01,,,,,10,1,C2,4,039-001,1045,,,2,3,20010621,19010101,,455466,4530468,T,,CERVERA DE BUITRAGO-AYUNTAMIENTO,,
22,8_12379,20160622,8,12379,AV.EUROPA-REINO UNIDO,,S,,,,,,U,28,113,11301,1130102,00069,Avda,de,Europa,N,1,,,28320,02,008,,T1133563,,,4,B2,2,113-004,834,,582-3,2,3,20010621,19010101,,440988,4455803,T,,AV.EUROPA-REINO UNIDO,,
23,8_15593,20160622,8,15593,ALCALDE RAMÓN YERRO ORDÓÑEZ-MÓSTOLES,,S,,,,,,U,28,074,07402,0740201,C0028,Calle,de,Móstoles,N,24,,,28914,07,005,,T0741570,,,4,B1,2,074-034,773,,582-1,2,3,20040618,20040618,,433146,4463222,T,,ALCALDE RAMÓN YERRO ORDÓÑEZ-MÓSTOLES,,
24,8_15594,20160622,8,15594,ALCALDE PEDRO GONZÁLEZ GLEZ.-MÓSTOLES,,S,,,,,,U,28,074,07402,0740201,C0028,Calle,de,Móstoles,N,22,,,28914,07,005,,T0741550,0740201026,7,4,B1,2,074-034,773,,582-1,2,3,20040618,20040618,,433155,4463249,T,,ALCALDE PEDRO GONZÁLEZ GLEZ.-MÓSTOLES,,
25,8_12536,20160622,8,12536,ESPLIEGO-TOMILLO,,S,,,,,,Z,28,172,17208,,00246,Calle,,Espliego,N,11,,,28810,01,,,,,12,2,C1,4,172-001,1148,,,2,3,20010621,19010101,,476003,4477324,T,,ESPLIEGO-TOMILLO,,
26,8_15595,20160622,8,15595,MÓSTOLES-ALCALDE MANUEL GÓMEZ CASADO,,S,,,,93,295,U,28,074,07402,0740201,C0028,Calle,de,Móstoles,N,36,,,28914,07,006,,T07441933,0740201026,,4,B1,2,074-034,773,,582-1,2,3,20040618,20040618,,433425,4463097,T,,MÓSTOLES-ALCALDE MANUEL GÓMEZ CASADO,,
27,8_12491,20160622,8,12491,PINILLA DEL VALLE-COLEGIO,,S,,,,,,U,28,112,11201,1120101,99999,Calle,de,Canal de Isabel II,N,2,,,28749,01,001,,,,10,1,C2,4,112-001,1064,,,2,3,20010621,19010101,,430880,4531195,T,,PINILLA DEL VALLE-COLEGIO,,
28,8_15596,20160622,8,15596,ALCALDE MANUEL GÓMEZ CASADO-MÓSTOLES,,S,,,,93,295,U,28,074,07402,0740201,C0028,Calle,de,Móstoles,N,34,,,28914,07,006,,T07441934,0740201026,,4,B1,2,074-034,773,,582-1,2,3,20040618,20040618,,433434,4463123,T,,ALCALDE MANUEL GÓMEZ CASADO-MÓSTOLES,,
29,8_15597,20160622,8,15597,ALCALDE FCO.MORENO-EST.PARQUE POLVORANCA,,S,,,,93,295,U,28,074,07402,0740201,C0026,Calle, ,Alcalde Francisco Moreno Menéndez,N,4,,,28914,07,006,,T07441932,,,4,B1,2,074-034,773,,582-1,2,3,20040618,20040618,,433478,4462940,T,,ALCALDE FCO.MORENO-EST.PARQUE POLVORANCA,,
30,8_12544,20160622,8,12544,AV.URBA-AV.ROBLEDAL,,S,,,,,,U,28,172,17208,,00338,Avda,la,Urba,N,5,,,28810,01,005,,T1722541,,,2,C1,3,172-001,1148,,560-2,2,3,20010621,19010101,,476365,4476226,T,,AV.URBA-AV.ROBLEDAL,,
31,8_12546,20160622,8,12546,AV.MADRID-CENTRO DE ESTUDIOS,,S,,,,,,U,28,027,02701,,A0054,Avda,de,Madrid,N,39,,,28730,01,,,,,10,1,C2,4,027-001,1040,,,2,3,20010621,19010101,,446425,4538095,T,,AV.MADRID-CENTRO DE ESTUDIOS,,
32,8_12548,20160622,8,12548,CTRA.MANJIRÓN-AV.MADRID,,S,,,,,,C,28,027,02701,,A0051,Ctra,,M-126 (Manjirón),N,2,,M-126,28730,01,,,,,10,1,C2,4,027-001,1040,,,2,3,20010621,19010101,,446490,4537203,T,,CTRA.MANJIRÓN-AV.MADRID,,
33,8_12553,20160622,8,12553,ESCOFINA-CAMINO DEL MOLINO,,S,,,,,,U,28,047,04705,0470501,99999,Calle,,Escofina,N,16,,,28409,01,001,,,,9,6,B3,3,047-007,969,,,1,0,20010621,19010101,,413828,4498350,T,,ESCOFINA-CAMINO DEL MOLINO,,
34,8_12425,20160622,8,12425,AV.PABLO IGLESIAS-AV.LIBERTAD,,S,,,,,,U,28,058,05805,,A0360,Avda,de,Pablo Iglesias,N,17,,,28942,09,,,,,7,4,B2,3,058-003,678,,,2,3,20010621,19010101,,428795,4461999,T,,AV.PABLO IGLESIAS-AV.LIBERTAD,,
35,8_15603,20160622,8,15603,ALCALDE FCO.MORENO-ARGANDA DEL REY,,S,,,,,,U,28,074,07402,0740201,C0026,Calle, ,Alcalde Francisco Moreno Menéndez,N,1,,,28914,07,003,,T0741503,0740201026,7,4,B1,2,074-034,773,,582-1,2,3,20040624,20040624,,433697,4463565,T,,ALCALDE FCO.MORENO-ARGANDA DEL REY,,
36,8_15602,20160622,8,15602,ALCALDE FCO.MORENO-TORREJÓN DE ARDOZ,,S,,,,,,U,28,074,07402,0740201,C0026,Calle, ,Alcalde Francisco Moreno Menéndez,N,1,,,28914,07,003,,T07441683,0740201026,7,4,B1,2,074-034,773,,582-1,2,3,20040624,20040624,,433720,4463575,T,,ALCALDE FCO.MORENO-TORREJÓN DE ARDOZ,,
37,8_15604,20160622,8,15604,CÉSAR GªCONTONENTE-ALCALDE A.DE CASTRO,,S,,,,,,U,28,074,07402,0740201,C0025,Calle, ,César García Contonente,N,6,,,28914,07,004,,T07441682,0740201026,7,4,B1,2,074-034,773,,582-1,2,3,20040624,20040624,,433323,4463968,T,,CÉSAR GªCONTONENTE-ALCALDE A.DE CASTRO,,
38,8_15605,20160622,8,15605,CÉSAR GªCONTONENTE-ALCALDE A.DE CASTRO,,S,,,,,,U,28,074,07402,0740201,C0048,Calle, ,Alcalde Alfredo de Castro,N,24,,,28914,07,004,,T0741393,0740201026,7,4,B1,2,074-034,773,,582-1,2,3,20040624,20040624,,433308,4463967,T,,CÉSAR GªCONTONENTE-ALCALDE A.DE CASTRO,,
39,8_12433,20160622,8,12433,ALEJO CARPENTIER-MIGUEL DELIBES,,S,,,,,,U,28,005,00501,,A0022,Calle, ,Alejo Carpentier,N,23,,,28806,04,013,,T005469,,,2,B3,2,005-009,865,,560-1,2,3,20010621,19010101,,468560,4482980,T,,ALEJO CARPENTIER-MIGUEL DELIBES,,
40,8_12434,20160622,8,12434,ALEJO CARPENTIER-MIGUEL DELIBES,,S,,,,,,U,28,005,00501,,A0022,Calle, ,Alejo Carpentier,N,20,,,28806,04,014,,T005487,,,2,B3,2,005-011,867,,560-1,2,3,20010621,19010101,,468567,4482967,T,,ALEJO CARPENTIER-MIGUEL DELIBES,,
41,8_12435,20160622,8,12435,E.PASCUAL Y CUÉLLAR-CENTRO DE JUBILADOS,,S,,,,93,125,U,28,005,00501,,A0231,Calle, ,Eduardo Pascual y Cuéllar,N,10,,,28806,08,,,,,,2,B3,3,005-011,867,,,2,3,20010621,19010101,,468849,4482304,T,,E.PASCUAL Y CUÉLLAR-CENTRO DE JUBILADOS,,
42,8_12313,20160622,8,12313,AV.CERVANTES-CºVALDEAVERO,,S,,,,,,U,28,083,08302,,00211,Avda,,Cervantes,N,18,,,28880,01,,,,,12,2,C1,4,083-001,1130,,,2,3,20010621,19010101,,472242,4489933,T,,AV.CERVANTES-CºVALDEAVERO,,
43,8_12314,20160622,8,12314,CTRA.M114-POL.IND.LOS TRES,,S,,,,,,U,28,002,00201,,A0087,Ctra,de,Torrejón,N,17,,,28864,01,001,,T002108,,,2,B2,2,002-001,855,,535-3,2,3,20010621,19010101,,459357,4486555,T,,CTRA.M114-POL.IND.LOS TRES,,
44,8_16166,20160622,8,16166,AV.CARABANCHEL ALTO-AV.LA PESETA,,S,,,,,,U,28,079,07901,0790101,02496,Avda,de,Carabanchel Alto,N,53,,,28054,11,192,116,T079917399,0790101A07,3,4,A,1,079-11-310,310,,559-3,2,3,20051205,20051205,,436110,4468384,T,,AV.CARABANCHEL ALTO-AV.LA PESETA,,
45,8_16165,20160622,8,16165,AV.CARABANCHEL ALTO-AV.LA PESETA,,S,,,,,,U,28,079,07901,0790101,02496,Avda,de,Carabanchel Alto,N,150,,,28054,11,190,116,T079916986,0790101982,3,4,A,1,079-11-305,305,,559-3,2,3,20051205,20051205,,436085,4468378,T,,AV.CARABANCHEL ALTO-AV.LA PESETA,,
46,8_16212,20160622,8,16212,RÍO TAJO-VALDELACEA,,S,,,,,,U,28,015,01502,0150201,00140,Calle, ,Río Tajo,N,37,,,28939,01,006,,T0155507,0150201002,7,4,B3,2,015-001,671,,581-2,2,3,20060316,20060316,,421528,4459064,T,,RÍO TAJO-VALDELACEA,,
47,8_12276,20160622,8,12276,AV.AMÉRICA-COLOMBIA,,S,,,,,,U,28,106,10603,,10013,Avda,de,América,N,47,,,28980,01,,,,,7,4,B2,3,106-011,825,,,1,1,20010621,19010101,,434928,4453476,T,,AV.AMÉRICA-COLOMBIA,,
48,8_12329,20160622,8,12329,AV.PLANTÍO-RECINTO FERIAL,,S,,,,,,U,28,049,04901,,A0223,Avda,del,Plantío,N,12,,,28821,01,022,,T049109,,,2,B1,2,049-005,898,,559-2,2,3,20010621,19010101,,452451,4475865,T,,AV.PLANTÍO-RECINTO FERIAL,,
49,8_06404,20160622,8,06404,AV.JUAN CARLOS I-PLANETOCIO,,S,,,,,,U,28,047,04705,0470501,A0079,Avda,,Juan Carlos I,N,49,,,28400,01,019,,T047173,0470501022,9,6,B3,3,047-003,965,,533-2,4,8,20010621,19010101,,414226,4499077,T,,AV.JUAN CARLOS I-PLANETOCIO,,
50,8_16214,20160622,8,16214,AV.EUROPA-RIO PERALES,,S,,,,,,U,28,015,01502,0150201,00174,Avda,de la,Unión Europea,N,29,,,28939,01,006,,T015178,0150201009,7,4,B3,2,015-001,671,,581-2,2,3,20060316,20060316,,421879,4459410,T,Esq Calle de Torrevieja,AV.EUROPA-RIO PERALES,,
51,8_10328,20160622,8,10328,MONTEJO DE LA SIERRA-PZA.FUENTE,,S,,,,,,T,28,088,08801,0880101,00052,Plaza,de la,Fuente,N,1,,M-137,28190,01,001,11,T08826,0880101003,10,1,C2,4,088-001,1059,,458-4,2,11,20010621,19010101,,455609,4545747,T,,MONTEJO DE LA SIERRA-PZA.FUENTE,,
52,8_12337,20160622,8,12337,AV.PORTUGAL-RESTAURANTE,,S,,,,,,U,28,092,09201,0920101,A0133,Ctra,de,Extremadura (Antigua N-V),SN,SN,,,28935,04,001,,,,7,5,B2,3,092-032,810,,,2,3,20010621,19010101,,424470,4462915,T,,AV.PORTUGAL-RESTAURANTE,,
53,8_10884,20160622,8,10884,BRASIL-URUGUAY,,S,,,,,,U,28,058,05801,,A0073,Calle,de,Brasil,N,16,,,28946,02,,,,,7,4,B2,3,058-011,686,,582-I,2,3,20010621,19010101,,433439,4459647,T,,BRASIL-URUGUAY,,
54,8_10888,20160622,8,10888,LA SALLE-ESCUELA UNIVERSITARIA,,S,,,,,,U,28,079,07901,,10395,Calle,de,La Salle,N,6,,,28023,09,,,,,5,6,B1,2,079-09-201,201,,559-I,2,3,20010621,19010101,,433775,4480010,T,,LA SALLE-ESCUELA UNIVERSITARIA,3294,
55,8_10891,20160622,8,10891,AV.CONSTITUCIÓN-AV.LAS FRONTERAS,,S,,,,,,U,28,148,14801,,00063,Avda, ,Constitución,N,9,,,28850,04,003,,T148418,,,2,B2,2,148-007,938,,560-1,1,0,20010621,19010101,,459227,4478643,T,,AV.CONSTITUCIÓN-AV.LAS FRONTERAS,,
56,8_10896,20160622,8,10896,AV.CONSTITUCIÓN-ROMA,,S,,,,,,U,28,148,14801,1480101,00063,Avda, ,Constitución,N,151,,,28850,02,001,,T148351,,,2,B2,2,148-011,942,,560-1,1,1,20010621,19010101,,460209,4478875,T,,AV.CONSTITUCIÓN-ROMA,,
57,8_10900,20160622,8,10900,SANTA ÚRSULA-ANTONIO ZAMORA,,S,,,,,,U,28,079,07901,0790101,05666,Calle,de,Santa Úrsula,N,5,,,28011,10,023,102,T0799414,,3,5,A,2,079-10-268,268,,559-III,2,3,20010621,19010101,,438135,4473995,T,,SANTA ÚRSULA-ANTONIO ZAMORA,,
58,8_11219,20160622,8,11219,VASCOS-POL.IND.LA TOCA,,S,,,,,,U,28,058,05801,,A0501,Calle, ,Vascos,N,25,,,28947,04,012,,T05881253,,,4,B2,2,058-029,704,,582-1,2,3,20010621,19010101,,435942,4457427,T,,VASCOS-POL.IND.LA TOCA,,
59,8_11220,20160622,8,11220,VASCOS-POL.IND.LA TOCA,,S,,,,,,U,28,058,05801,,A0501,Calle, ,Vascos,N,25,,,28947,04,012,,T05881249,,,4,B2,2,058-029,704,,582-1,2,3,20010621,19010101,,435954,4457442,T,,VASCOS-POL.IND.LA TOCA,,
60,8_11226,20160622,8,11226,PZA.PARÍS-P.EMPRESARIAL LA MORALEJA,,S,,,,,,Z,28,006,00601,0060101,A0237,Plaza,de,París,N,1,,,28108,01,001,,T006363,0060101001,,1,B1,3,006-012,597,,,2,3,20010621,19010101,,444315,4485903,T,,PZA.PARÍS-P.EMPRESARIAL LA MORALEJA,,
61,8_11230,20160622,8,11230,PºCHOPERA-CÁDIZ,,S,,,,93,268,U,28,006,00601,0060101,99999,Paseo,de la,Chopera,N,64,,,28100,01,001,,T006363,0060101001,,1,B1,3,006-009,594,,,2,3,20010621,19010101,,445801,4488257,T,,PºCHOPERA-CÁDIZ,,
62,8_11231,20160622,8,11231,PºCHOPERA-AV.CAMILO JOSÉ CELA,,S,,,,,,U,28,006,00601,,A0070,Paseo,de la,Chopera,N,253,,,28100,01,,,,,6,1,B1,3,006-006,591,,,2,3,20010621,19010101,,444487,4488659,T,,PºCHOPERA-AV.CAMILO JOSÉ CELA,,
63,8_11234,20160622,8,11234,CºTOMILLARÓN-URB.EL COTO,,S,,,,,,U,28,127,12704,,02678,Cmno,de,Tomillarón,N,11,,,28230,01,,,,,9,6,B2,3,127-009,1018,,,2,3,20010621,19010101,,426876,4482899,T,,CºTOMILLARÓN-URB.EL COTO,,
64,8_11235,20160622,8,11235,CºTOMILLARÓN-URB.EL COTO,,S,,,,,,U,28,127,12704,,02678,Cmno,de,Tomillarón,N,8,,,28230,01,,,,,9,6,B2,3,127-009,1018,,,2,3,20010621,19010101,,426883,4482890,T,,CºTOMILLARÓN-URB.EL COTO,,
65,8_11237,20160622,8,11237,SANTA MARÍA-PISTA POLIDEPORTIVA,,S,,,,,,U,28,127,12704,,02672,Calle,de,Santa María,N,13,,,28230,01,,,,,9,6,B2,3,127-009,1018,,558-2,2,3,20010621,19010101,,426901,4483086,T,,SANTA MARÍA-PISTA POLIDEPORTIVA,,
66,8_11239,20160622,8,11239,SANTA MARÍA-SANTA ISABEL,,S,,,,93,322,U,28,127,12704,,02672,Calle,de,Santa María,N,12,,,,01,001,,T127737,,,6,B2,3,127-009,1018,,,2,3,20010621,19010101,,426703,4483249,T,,SANTA MARÍA-SANTA ISABEL,,
67,8_11241,20160622,8,11241,CTRA.M122-LOS MELONARES,,S,,,,,,U,28,168,16803,,00166,Ctra, ,M-122 (El Espartal),N,700,,M-122,28722,01,001,,T16826,,,1,C2,3,168-001,1082,,509-2,3,11,20010621,19010101,,449870,4513114,T,,CTRA.M122-LOS MELONARES,,
68,8_12001,20160622,8,12001,CTRA.M610-URB.LA PESQUERA,,S,,,,,,U,28,028,02813,,00197,Calle,el,Requebradero,N,3,T,M-610,28720,01,001,,T02820,,,7,C2,3,028-001,1041,,484-3,3,9,20010621,19010101,,442071,4524053,T,,CTRA.M610-URB.LA PESQUERA,,
69,8_12194,20160622,8,12194,CORREDERA BAJA-PLAZA DE TOROS,,S,,,,,,U,28,133,13304,,00532,Calle,de la,Corredera Alta,N,24,,,28680,01,003,,T133218,,,5,C2,3,133-001,1108,,557-3,2,3,20010621,19010101,,381094,4468974,T,,CORREDERA BAJA-PLAZA DE TOROS,,
70,8_12195,20160622,8,12195,CORRDERA ALTA-PLAZA DE TOROS,,S,,,,,,U,28,133,13304,1330401,00532,Calle,de la,Corredera Alta,N,17,,,28680,01,003,,T133254,,,5,C2,3,133-001,1108,,557-3,2,3,20010621,19010101,,381081,4468961,T,,CORRDERA ALTA-PLAZA DE TOROS,,
71,8_12082,20160622,8,12082,CTRA.M103-POL.IND.LA CUESTA,,S,,,,,,C,28,059,05904,,00235,Calle,,Torrelaguna,N,81,,M-103,28140,01,,,,,10,1,C1,4,059-001,1046,,,3,8,20010621,19010101,,456926,4499825,T,,CTRA.M103-POL.IND.LA CUESTA,,
72,8_12097,20160622,8,12097,AV.MADRID-RESIDENCIAL GUADALIX,,S,,,,,,U,28,129,12901,,A0060,Avda,de,Madrid,N,3,,,28750,01,,,,,6,1,B3,3,129-001,616,,509-4,2,3,20010621,19010101,,448221,4503285,T,,AV.MADRID-RESIDENCIAL GUADALIX,,
73,8_12099,20160622,8,12099,CTRA.M108-TESTIGOS DE JEHOVÁ,,S,,,,,,C,28,002,00201,,A0087,Ctra,de,Torrejón,N,36,,M-108,28864,01,,,,,8,2,B2,3,002-001,855,,,2,8,20010621,19010101,,459478,4484080,T,,CTRA.M108-TESTIGOS DE JEHOVÁ,,
74,8_12100,20160622,8,12100,CTRA.M108-TESTIGOS DE JEHOVÁ,,S,,,,,,U,28,002,00201,,A0087,Ctra,de,Torrejón,N,4800,,M-108,28864,01,001,,T002142,,,2,B2,2,002-001,855,,535-3,2,8,20010621,19010101,,459438,4484145,T,,CTRA.M108-TESTIGOS DE JEHOVÁ,,
75,8_09622,20160622,8,09622,ALMÍBAR-LA NARANJA,,S,,,,,,U,28,013,01302,,A0171,Calle,de la,Naranja,N,12,,,28300,03,001,21,T013538,,,4,C1,3,013-006,1094,,605-4,1,0,20010621,19010101,,448639,4431505,T,,ALMÍBAR-LA NARANJA,,
76,8_09623,20160622,8,09623,ALMÍBAR-LA NARANJA,,S,,,,,,U,28,013,01302,,A0011,Calle,del,Almíbar,N,145,,,28300,02,,21,,,11,4,C1,4,013-006,1094,,605-IV,1,1,20010621,19010101,,448657,4431493,T,,ALMÍBAR-LA NARANJA,,
77,8_09626,20160622,8,09626,AV.PLAZA DE TOROS-CONCHA,,S,,,,,,U,28,013,01302,,A0203,Avda,de la,Plaza de Toros,N,59,,,28300,03,,21,,,11,4,C1,4,013-006,1094,,605-IV,1,0,20010621,19010101,,448795,4431261,T,,AV.PLAZA DE TOROS-CONCHA,,
78,8_11688,20160622,8,11688,BELLAS VISTAS-LA MESETA,,S,,,,,,U,28,181,18101,1810101,A0040,Calle, ,Bellas Vistas,N,7,,,28670,01,009,,T18163,1810101013,9,5,B2,2,181-004,1030,,558-4,3,0,20010621,19010101,,425368,4469116,T,,BELLAS VISTAS-LA MESETA,,
79,8_09583,20160622,8,09583,REY-AUDITORIO,,S,,,,,,U,28,013,01302,,A0224,Calle,del,Rey,N,48,,,28300,01,,21,,,11,4,C1,4,013-002,1090,,605-IV,1,0,20010621,19010101,,448874,4431730,T,,REY-AUDITORIO,,
80,8_09584,20160622,8,09584,FOSO-GOBERNADOR,,S,,,,,,U,28,013,01302,,A0095,Calle,del,Foso,N,86,,,28300,01,009,21,T013394,,,4,C1,3,013-002,1090,,605-4,1,1,20010621,19010101,,449079,4431716,T,,FOSO-GOBERNADOR,,
81,8_11710,20160622,8,11710,AV.CATALIFA-ORQUÍDEA,,S,,,,,,U,28,181,18101,1810101,A0049,Avda, ,Calatalifa,N,26,,,28670,01,011,,T181324,1810101003,9,5,B2,2,181-005,1031,,558-4,1,5,20010621,19010101,,423373,4467536,T,,AV.CATALIFA-ORQUÍDEA,,
82,8_09539,20160622,8,09539,ESTRELLAS-AV.MADRID,,S,,,,,,U,28,040,04001,,A0063,Calle,,Estrellas,N,28,,,28350,02,,,,,7,4,B3,3,040-002,674,,605-II,1,0,20010621,19010101,,446908,4446243,T,,ESTRELLAS-AV.MADRID,,
