OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
2001,8,355106,91014,1,1,2,15866,*,,4,TI,I,AV.INSTITUTO-AV.VALDEMARÍA,28,014,ARGANDA DEL REY,B3,Avda del Instituto N 47,20151027,20151104,,303.3421,13.36,9,_,28,014,9__1__014__c._1_IT_2_8_15866_*__TI_I_4,c.,1014108,AV.INSTITUTO-AV.VALDEMARÍA,9__1__014_,9__1__014__1014108_1_IT_2,8_15866,8_15866_*,8_15866_
2002,8,355108,91014,1,1,2,15866,*,,4,TI,I,AV.INSTITUTO-AV.VALDEMARÍA,28,014,ARGANDA DEL REY,B3,Avda del Instituto N 47,20151027,20151104,,303.3421,13.36,9,_,28,014,9__1__014__g._1_IT_2_8_15866_*__TI_I_4,g.,1014107,AV.INSTITUTO-AV.VALDEMARÍA,9__1__014_,9__1__014__1014107_1_IT_2,8_15866,8_15866_*,8_15866_
2003,8,346768,94014,4,1,1,18712,*,,19,TI,I,AV. DERECHOS HUMANOS-COMPRENSION,28,014,ARGANDA DEL REY,B3,Avda de los Derechos Humanos N 13A,20120214,20120213,,257.4736,40,9,_,28,014,9__4__014__-_1_IT_1_8_18712_*__TI_I_19,-,4014101,AV. DERECHOS HUMANOS-COMPRENSION,9__4__014_,9__4__014__4014101_1_IT_1,8_18712,8_18712_*,8_18712_
2004,8,349332,92014,2,2,2,17496,*,,11,TI,I,AV.VALENCIA-URB.EL ROMERAL,28,014,ARGANDA DEL REY,B3,Urb el Romeral N 23,20130222,20130315,,643.4551,40,9,_,28,014,9__2__014__r._2_IT_2_8_17496_*__TI_I_11,r.,2014202,AV.VALENCIA-URB.EL ROMERAL,9__2__014_,9__2__014__2014202_2_IT_2,8_17496,8_17496_*,8_17496_
2005,8,355108,91014,1,1,2,17507,*,,17,TI,I,SAN SEBASTIÁN-PZA.NICARAGUA,28,014,ARGANDA DEL REY,B3,Calle de San Sebastián N 29,20151027,20151104,,507.2497,40,9,_,28,014,9__1__014__g._1_IT_2_8_17507_*__TI_I_17,g.,1014107,SAN SEBASTIÁN-PZA.NICARAGUA,9__1__014_,9__1__014__1014107_1_IT_2,8_17507,8_17507_*,8_17507_
2006,8,346768,94014,4,1,1,17508,*,,7,TI,I,SAN SEBASTIÁN-PZA.NICARAGUA,28,014,ARGANDA DEL REY,B3,Calle de San Sebastián N 29,20120214,20120213,,438.5697,15,9,_,28,014,9__4__014__-_1_IT_1_8_17508_*__TI_I_7,-,4014101,SAN SEBASTIÁN-PZA.NICARAGUA,9__4__014_,9__4__014__4014101_1_IT_1,8_17508,8_17508_*,8_17508_
2007,8,355109,91014,1,2,2,17508,*,,15,TI,I,SAN SEBASTIÁN-PZA.NICARAGUA,28,014,ARGANDA DEL REY,B3,Calle de San Sebastián N 29,20151027,20151104,,660.0559,-1,9,_,28,014,9__1__014__g._2_IT_2_8_17508_*__TI_I_15,g.,1014207,SAN SEBASTIÁN-PZA.NICARAGUA,9__1__014_,9__1__014__1014207_2_IT_2,8_17508,8_17508_*,8_17508_
2008,8,346768,94014,4,1,1,17510,*,,14,TI,I,AV.ALCALÁ DE HENARES-AV.VILLARES,28,014,ARGANDA DEL REY,B3,Avda de Alcalá de Henares N 18,20120214,20120213,,298.3824,40,9,_,28,014,9__4__014__-_1_IT_1_8_17510_*__TI_I_14,-,4014101,AV.ALCALÁ DE HENARES-AV.VILLARES,9__4__014_,9__4__014__4014101_1_IT_1,8_17510,8_17510_*,8_17510_
2009,8,346765,92014,2,1,1,17489,*,,27,TI,I,RONDA SUR-SIETE VIENTOS,28,014,ARGANDA DEL REY,B3,Vreda de la Ladronera N 2,20120214,20120213,,141.7232,15,9,_,28,014,9__2__014__-_1_IT_1_8_17489_*__TI_I_27,-,2014101,RONDA SUR-SIETE VIENTOS,9__2__014_,9__2__014__2014101_1_IT_1,8_17489,8_17489_*,8_17489_
2010,8,346766,92014,2,1,2,17489,*,,23,TI,I,RONDA SUR-SIETE VIENTOS,28,014,ARGANDA DEL REY,B3,Vreda de la Ladronera N 2,20120214,20120213,,141.7232,15,9,_,28,014,9__2__014__r._1_IT_2_8_17489_*__TI_I_23,r.,2014102,RONDA SUR-SIETE VIENTOS,9__2__014_,9__2__014__2014102_1_IT_2,8_17489,8_17489_*,8_17489_
2011,8,346768,94014,4,1,1,17489,*,,36,TI,I2,RONDA SUR-SIETE VIENTOS,28,014,ARGANDA DEL REY,B3,Vreda de la Ladronera N 2,20120214,20120213,,663.9413,15,9,_,28,014,9__4__014__-_1_IT_1_8_17489_*__TI_I2_36,-,4014101,RONDA SUR-SIETE VIENTOS,9__4__014_,9__4__014__4014101_1_IT_1,8_17489,8_17489_*,8_17489_
2012,8,346766,92014,2,1,2,17490,*,,25,TI,D,RONDA SUR-HOSPITAL DEL SURESTE,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20120214,20120213,,530.061,40,9,_,28,014,9__2__014__r._1_IT_2_8_17490_*__TI_D_25,r.,2014102,RONDA SUR-HOSPITAL DEL SURESTE,9__2__014_,9__2__014__2014102_1_IT_2,8_17490,8_17490_*,8_17490_
2013,8,346765,92014,2,1,1,17490,*,,29,TI,D,RONDA SUR-HOSPITAL DEL SURESTE,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20120214,20120213,,530.061,40,9,_,28,014,9__2__014__-_1_IT_1_8_17490_*__TI_D_29,-,2014101,RONDA SUR-HOSPITAL DEL SURESTE,9__2__014_,9__2__014__2014101_1_IT_1,8_17490,8_17490_*,8_17490_
2014,8,346768,94014,4,1,1,17490,*,,38,TI,TD,RONDA SUR-HOSPITAL DEL SURESTE,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20120214,20120213,,530.061,40,9,_,28,014,9__4__014__-_1_IT_1_8_17490_*__TI_TD_38,-,4014101,RONDA SUR-HOSPITAL DEL SURESTE,9__4__014_,9__4__014__4014101_1_IT_1,8_17490,8_17490_*,8_17490_
2015,8,346768,94014,4,1,1,17491,*,,1,TI,C,RONDA SUR-HOSPITAL DEL SURESTE,28,014,ARGANDA DEL REY,B3,Ronda del Sur N SN,20120214,20120213,,0,,9,_,28,014,9__4__014__-_1_IT_1_8_17491_*__TI_C_1,-,4014101,RONDA SUR-HOSPITAL DEL SURESTE,9__4__014_,9__4__014__4014101_1_IT_1,8_17491,8_17491_*,8_17491_
2016,8,349332,92014,2,2,2,17491,*,,1,TI,T,RONDA SUR-HOSPITAL DEL SURESTE,28,014,ARGANDA DEL REY,B3,Ronda del Sur N SN,20130222,20130315,,0,,9,_,28,014,9__2__014__r._2_IT_2_8_17491_*__TI_T_1,r.,2014202,RONDA SUR-HOSPITAL DEL SURESTE,9__2__014_,9__2__014__2014202_2_IT_2,8_17491,8_17491_*,8_17491_
