OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,OBJECTID_1,MODO_1,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION_1,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION_1,CODIGOPROVINCIA_1,CODIGOMUNICIPIO_1,MUNICIPIO,CORONATARIFARIA_1,DIRECCION,FECHAALTA_1,FECHAINICIO_1,FECHAFIN_1,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE_1,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
1,8_06974,20160622,8,06974,EMPECINADO-CONVENTO,,S,,,,,,U,28,005,00501,0050101,A0235,Calle,del,Empecinado,N,16,,,28801,01,001,,T005996,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,468947,4481218,T,,EMPECINADO-CONVENTO,,,,580,8,348961,91005,1,2,1,06974,*,,13,TI,I,EMPECINADO-CONVENTO,28,005,ALCALA DE HENARES,B3,Calle del Empecinado N 16,20121220,20130105,,465.8458,15,9,_,28,005,9__1__005__-_2_IT_1_8_06974_*__TI_I_13,-,1005201,EMPECINADO-CONVENTO,9__1__005_,9__1__005__1005201_2_IT_1,8_06974,8_06974_*,8_06974_
2,8_06981,20160622,8,06981,LUIS VIVES-BEATRÍZ GALINDO,,S,,,,,,U,28,005,00501,0050101,A0424,Calle,,Luis Vives,N,4,,,28803,03,001,,T0051080,0050101026,8,2,B3,3,005-021,877,,560-1,2,3,20010621,19010101,,468867,4480939,T,,LUIS VIVES-BEATRÍZ GALINDO,,,,608,8,348962,91005,1,2,2,06981,*,,3,TI,I,LUIS VIVES-BEATRÍZ GALINDO,28,005,ALCALA DE HENARES,B3,Calle  Luis Vives N 4,20121220,20130105,,273.0722,13.36,9,_,28,005,9__1__005__g._2_IT_2_8_06981_*__TI_I_3,g.,1005207,LUIS VIVES-BEATRÍZ GALINDO,9__1__005_,9__1__005__1005207_2_IT_2,8_06981,8_06981_*,8_06981_
3,8_09750,20160622,8,09750,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,Con Calle Gavilán,S,,,,,,Z,28,014,01407,0140701,10248,Avda,de,Alcalá de Henares,SN,SN,,,28500,01,001,,,,8,3,B3,3,014-003,888,,583-I,1,1,20010621,19010101,,461984,4462577,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,,,1758,8,355104,91014,1,1,1,09750,*,,21,TI,I,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,28,014,ARGANDA DEL REY,B3,Avda de Alcalá de Henares SN SN,20151027,20151104,,535.5477,40,9,_,28,014,9__1__014__-_1_IT_1_8_09750_*__TI_I_21,-,1014101,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,9__1__014_,9__1__014__1014101_1_IT_1,8_09750,8_09750_*,8_09750_
4,8_09751,20160622,8,09751,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,S,,,,,,Z,28,014,01407,,10248,Avda,de,Alcalá de Henares,N,3,,,28500,01,,,,,8,3,B3,3,014-003,888,,583-1,1,8,20010621,19010101,,461946,4462572,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,,,1760,8,355105,91014,1,2,1,09751,*,,13,TI,I,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,28,014,ARGANDA DEL REY,B3,Avda de Alcalá de Henares N 3,20151027,20151104,,224.0012,-1,9,_,28,014,9__1__014__-_2_IT_1_8_09751_*__TI_I_13,-,1014201,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,9__1__014_,9__1__014__1014201_2_IT_1,8_09751,8_09751_*,8_09751_
5,8_11930,20160622,8,11930,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,S,,,,,,U,28,005,00501,0050101,A0638,Plaza,,Rodríguez Marín,N,3,,,28801,01,001,,T005929,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,469243,4481462,T,,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,,,332,8,348964,91005,1,2,2,11930,*,,13,TI,I,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,28,005,ALCALA DE HENARES,B3,Plaza  Rodríguez Marín N 3,20121220,20130105,,652.1962,15,9,_,28,005,9__1__005__p2_2_IT_2_8_11930_*__TI_I_13,p2,1005203,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,9__1__005_,9__1__005__1005203_2_IT_2,8_11930,8_11930_*,8_11930_
6,8_12379,20160622,8,12379,AV.EUROPA-REINO UNIDO,,S,,,,,,U,28,113,11301,1130102,00069,Avda,de,Europa,N,1,,,28320,02,008,,T1133563,,,4,B2,2,113-004,834,,582-3,2,3,20010621,19010101,,440988,4455803,T,,AV.EUROPA-REINO UNIDO,,,,4918,8,353123,91113,1,1,2,12379,*,,3,TI,I,AV.EUROPA-REINO UNIDO,28,113,PINTO,B2,Avda de Europa N 1,20140908,20140720,,370.5829,40,9,_,28,113,9__1__113__c._1_IT_2_8_12379_*__TI_I_3,c.,1113102,AV.EUROPA-REINO UNIDO,9__1__113_,9__1__113__1113102_1_IT_2,8_12379,8_12379_*,8_12379_
7,8_12553,20160622,8,12553,ESCOFINA-CAMINO DEL MOLINO,,S,,,,,,U,28,047,04705,0470501,99999,Calle,,Escofina,N,16,,,28409,01,001,,,,9,6,B3,3,047-007,969,,,1,0,20010621,19010101,,413828,4498350,T,,ESCOFINA-CAMINO DEL MOLINO,,,,2607,8,350885,92047,2,1,1,12553,*,,30,TI,I2,ESCOFINA-CAMINO DEL MOLINO,28,047,COLLADO VILLALBA,B3,Calle  Escofina N 16,20131023,20131101,,202.5518,40,9,_,28,047,9__2__047__-_1_IT_1_8_12553_*__TI_I2_30,-,2047101,ESCOFINA-CAMINO DEL MOLINO,9__2__047_,9__2__047__2047101_1_IT_1,8_12553,8_12553_*,8_12553_
8,8_12425,20160622,8,12425,AV.PABLO IGLESIAS-AV.LIBERTAD,,S,,,,,,U,28,058,05805,,A0360,Avda,de,Pablo Iglesias,N,17,,,28942,09,,,,,7,4,B2,3,058-003,678,,,2,3,20010621,19010101,,428795,4461999,T,,AV.PABLO IGLESIAS-AV.LIBERTAD,,,,3426,8,342226,91058,1,1,1,12425,*,,33,TI,I,AV.PABLO IGLESIAS-AV.LIBERTAD,28,058,FUENLABRADA,B2,Avda de Pablo Iglesias N 17,20100510,20100601,,380.362,13.36,9,_,28,058,9__1__058__-_1_IT_1_8_12425_*__TI_I_33,-,1058101,AV.PABLO IGLESIAS-AV.LIBERTAD,9__1__058_,9__1__058__1058101_1_IT_1,8_12425,8_12425_*,8_12425_
9,8_12433,20160622,8,12433,ALEJO CARPENTIER-MIGUEL DELIBES,,S,,,,,,U,28,005,00501,,A0022,Calle, ,Alejo Carpentier,N,23,,,28806,04,013,,T005469,,,2,B3,2,005-009,865,,560-1,2,3,20010621,19010101,,468560,4482980,T,,ALEJO CARPENTIER-MIGUEL DELIBES,,,,153,8,323558,910005,10,1,2,12433,*,,9,TI,I,ALEJO CARPENTIER-MIGUEL DELIBES,28,005,ALCALA DE HENARES,B3,Calle   Alejo Carpentier N 23,20010627,19990705,,553.2647,40,9,_,28,005,9__10__005__a._1_IT_2_8_12433_*__TI_I_9,a.,10005102,ALEJO CARPENTIER-MIGUEL DELIBES,9__10__005_,9__10__005__10005102_1_IT_2,8_12433,8_12433_*,8_12433_
10,8_12434,20160622,8,12434,ALEJO CARPENTIER-MIGUEL DELIBES,,S,,,,,,U,28,005,00501,,A0022,Calle, ,Alejo Carpentier,N,20,,,28806,04,014,,T005487,,,2,B3,2,005-011,867,,560-1,2,3,20010621,19010101,,468567,4482967,T,,ALEJO CARPENTIER-MIGUEL DELIBES,,,,154,8,328576,910005,10,2,2,12434,*,,12,TI,I,ALEJO CARPENTIER-MIGUEL DELIBES,28,005,ALCALA DE HENARES,B3,Calle   Alejo Carpentier N 20,20010621,19991201,,406.9212,15,9,_,28,005,9__10__005__a._2_IT_2_8_12434_*__TI_I_12,a.,10005202,ALEJO CARPENTIER-MIGUEL DELIBES,9__10__005_,9__10__005__10005202_2_IT_2,8_12434,8_12434_*,8_12434_
11,8_12435,20160622,8,12435,E.PASCUAL Y CUÉLLAR-CENTRO DE JUBILADOS,,S,,,,93,125,U,28,005,00501,,A0231,Calle, ,Eduardo Pascual y Cuéllar,N,10,,,28806,08,,,,,,2,B3,3,005-011,867,,,2,3,20010621,19010101,,468849,4482304,T,,E.PASCUAL Y CUÉLLAR-CENTRO DE JUBILADOS,,,,155,8,348961,91005,1,2,1,12435,*,,4,TI,I,E.PASCUAL Y CUÉLLAR-CENTRO DE JUBILADOS,28,005,ALCALA DE HENARES,B3,Calle   Eduardo Pascual y Cuéllar N 10,20121220,20130105,,404.8221,13.36,9,93_125,28,005,9__1__005__-_2_IT_1_8_12435_*__TI_I_4,-,1005201,E.PASCUAL Y CUÉLLAR-CENTRO DE JUBILADOS,9__1__005_,9__1__005__1005201_2_IT_1,8_12435,8_12435_*,8_12435_
12,8_12276,20160622,8,12276,AV.AMÉRICA-COLOMBIA,,S,,,,,,U,28,106,10603,,10013,Avda,de,América,N,47,,,28980,01,,,,,7,4,B2,3,106-011,825,,,1,1,20010621,19010101,,434928,4453476,T,,AV.AMÉRICA-COLOMBIA,,,,4658,8,349145,93106,3,1,1,12276,*,,7,TI,I,AV.AMÉRICA-COLOMBIA,28,106,PARLA,B2,Avda de América N 47,20130129,20130201,,136.395,13.36,9,_,28,106,9__3__106__-_1_IT_1_8_12276_*__TI_I_7,-,3106101,AV.AMÉRICA-COLOMBIA,9__3__106_,9__3__106__3106101_1_IT_1,8_12276,8_12276_*,8_12276_
13,8_12329,20160622,8,12329,AV.PLANTÍO-RECINTO FERIAL,,S,,,,,,U,28,049,04901,,A0223,Avda,del,Plantío,N,12,,,28821,01,022,,T049109,,,2,B1,2,049-005,898,,559-2,2,3,20010621,19010101,,452451,4475865,T,,AV.PLANTÍO-RECINTO FERIAL,,,,3214,8,345993,92049,2,1,1,12329,*,,20,TI,I,AV.PLANTÍO-RECINTO FERIAL,28,049,COSLADA,B1,Avda del Plantío N 12,20111018,20111019,,386.0963,40,9,_,28,049,9__2__049__-_1_IT_1_8_12329_*__TI_I_20,-,2049101,AV.PLANTÍO-RECINTO FERIAL,9__2__049_,9__2__049__2049101_1_IT_1,8_12329,8_12329_*,8_12329_
14,8_12337,20160622,8,12337,AV.PORTUGAL-RESTAURANTE,,S,,,,,,U,28,092,09201,0920101,A0133,Ctra,de,Extremadura (Antigua N-V),SN,SN,,,28935,04,001,,,,7,5,B2,3,092-032,810,,,2,3,20010621,19010101,,424470,4462915,T,,AV.PORTUGAL-RESTAURANTE,,,,4372,8,353187,95092,5,2,1,12337,*,,26,TI,I,AV.PORTUGAL-RESTAURANTE,28,092,MOSTOLES,B2,Ctra de Extremadura (Antigua N-V) SN SN,20140918,20150102,,509.4629,-1,9,_,28,092,9__5__092__-_2_IT_1_8_12337_*__TI_I_26,-,5092201,AV.PORTUGAL-RESTAURANTE,9__5__092_,9__5__092__5092201_2_IT_1,8_12337,8_12337_*,8_12337_
15,8_10891,20160622,8,10891,AV.CONSTITUCIÓN-AV.LAS FRONTERAS,,S,,,,,,U,28,148,14801,,00063,Avda, ,Constitución,N,9,,,28850,04,003,,T148418,,,2,B2,2,148-007,938,,560-1,1,0,20010621,19010101,,459227,4478643,T,,AV.CONSTITUCIÓN-AV.LAS FRONTERAS,,,,5587,8,348733,93148,3,1,2,10891,*,,8,TI,I,AV.CONSTITUCIÓN-AV.LAS FRONTERAS,28,148,TORREJON DE ARDOZ,B2,Avda   Constitución N 9,20121029,20121029,,192.5349,40,9,_,28,148,9__3__148__pm_1_IT_2_8_10891_*__TI_I_8,pm,3148103,AV.CONSTITUCIÓN-AV.LAS FRONTERAS,9__3__148_,9__3__148__3148103_1_IT_2,8_10891,8_10891_*,8_10891_
16,8_10896,20160622,8,10896,AV.CONSTITUCIÓN-ROMA,,S,,,,,,U,28,148,14801,1480101,00063,Avda, ,Constitución,N,151,,,28850,02,001,,T148351,,,2,B2,2,148-011,942,,560-1,1,1,20010621,19010101,,460209,4478875,T,,AV.CONSTITUCIÓN-ROMA,,,,5601,8,353003,96148,6,1,1,10896,*,,4,TI,I,AV.CONSTITUCIÓN-ROMA,28,148,TORREJON DE ARDOZ,B2,Avda   Constitución N 151,20140813,20140901,,342.62,40,9,_,28,148,9__6__148__-_1_IT_1_8_10896_*__TI_I_4,-,6148101,AV.CONSTITUCIÓN-ROMA,9__6__148_,9__6__148__6148101_1_IT_1,8_10896,8_10896_*,8_10896_
17,8_11230,20160622,8,11230,PºCHOPERA-CÁDIZ,,S,,,,93,268,U,28,006,00601,0060101,99999,Paseo,de la,Chopera,N,64,,,28100,01,001,,T006363,0060101001,,1,B1,3,006-009,594,,,2,3,20010621,19010101,,445801,4488257,T,,PºCHOPERA-CÁDIZ,,,,1106,8,348436,911006,11,1,1,11230,*,,27,TI,I2,PºCHOPERA-CÁDIZ,28,006,ALCOBENDAS,B1,Paseo de la Chopera N 64,20120917,20120929,,252.1861,40,9,93_268,28,006,9__11__006__-_1_IT_1_8_11230_*__TI_I2_27,-,11006101,PºCHOPERA-CÁDIZ,9__11__006_,9__11__006__11006101_1_IT_1,8_11230,8_11230_*,8_11230_
18,8_09626,20160622,8,09626,AV.PLAZA DE TOROS-CONCHA,,S,,,,,,U,28,013,01302,,A0203,Avda,de la,Plaza de Toros,N,59,,,28300,03,,21,,,11,4,C1,4,013-006,1094,,605-IV,1,0,20010621,19010101,,448795,4431261,T,,AV.PLAZA DE TOROS-CONCHA,,,,1535,8,336485,93013,3,2,1,09626,*,,7,TI,I,AV.PLAZA DE TOROS-CONCHA,28,013,ARANJUEZ,C1,Avda de la Plaza de Toros N 59,20070614,20070701,,184.1827,40,9,_,28,013,9__3__013__-_2_IT_1_8_09626_*__TI_I_7,-,3013201,AV.PLAZA DE TOROS-CONCHA,9__3__013_,9__3__013__3013201_2_IT_1,8_09626,8_09626_*,8_09626_
19,8_09583,20160622,8,09583,REY-AUDITORIO,,S,,,,,,U,28,013,01302,,A0224,Calle,del,Rey,N,48,,,28300,01,,21,,,11,4,C1,4,013-002,1090,,605-IV,1,0,20010621,19010101,,448874,4431730,T,,REY-AUDITORIO,,,,1540,8,353308,91013,1,2,1,09583,*,,11,TI,I,REY-AUDITORIO,28,013,ARANJUEZ,C1,Calle del Rey N 48,20141021,20141030,,346.2796,15,9,_,28,013,9__1__013__-_2_IT_1_8_09583_*__TI_I_11,-,1013201,REY-AUDITORIO,9__1__013_,9__1__013__1013201_2_IT_1,8_09583,8_09583_*,8_09583_
20,8_09584,20160622,8,09584,FOSO-GOBERNADOR,,S,,,,,,U,28,013,01302,,A0095,Calle,del,Foso,N,86,,,28300,01,009,21,T013394,,,4,C1,3,013-002,1090,,605-4,1,1,20010621,19010101,,449079,4431716,T,,FOSO-GOBERNADOR,,,,1544,8,351979,91013,1,1,1,09584,*,,7,TI,I,FOSO-GOBERNADOR,28,013,ARANJUEZ,C1,Calle del Foso N 86,20140312,20140330,,303.725,15,9,_,28,013,9__1__013__-_1_IT_1_8_09584_*__TI_I_7,-,1013101,FOSO-GOBERNADOR,9__1__013_,9__1__013__1013101_1_IT_1,8_09584,8_09584_*,8_09584_
21,8_09539,20160622,8,09539,ESTRELLAS-AV.MADRID,,S,,,,,,U,28,040,04001,,A0063,Calle,,Estrellas,N,28,,,28350,02,,,,,7,4,B3,3,040-002,674,,605-II,1,0,20010621,19010101,,446908,4446243,T,,ESTRELLAS-AV.MADRID,,,,2258,8,353805,91040,1,1,1,09539,*,,13,TI,I,ESTRELLAS-AV.MADRID,28,040,CIEMPOZUELOS,B3,Calle  Estrellas N 28,20141230,20150119,,377.8985,40,9,_,28,040,9__1__040__-_1_IT_1_8_09539_*__TI_I_13,-,1040101,ESTRELLAS-AV.MADRID,9__1__040_,9__1__040__1040101_1_IT_1,8_09539,8_09539_*,8_09539_
22,8_12005,20160622,8,12005,AV.EUROPA-UNIVERSIDAD,,S,,,,,,U,28,007,00701,0070101,02609,Calle,de,Europa,N,2,,,28922,01,018,,T0077989,0070101029,7,5,B1,2,007-008,651,,559-3,2,3,20010621,19010101,,428344,4467236,T,,AV.EUROPA-UNIVERSIDAD,,,,1346,8,335265,91007,1,1,1,12005,*,,9,TI,I,AV.EUROPA-UNIVERSIDAD,28,007,ALCORCON,B1,Calle de Europa N 2,20060920,20061002,,532.7614,15,9,_,28,007,9__1__007__-_1_IT_1_8_12005_*__TI_I_9,-,1007101,AV.EUROPA-UNIVERSIDAD,9__1__007_,9__1__007__1007101_1_IT_1,8_12005,8_12005_*,8_12005_
23,8_11769,20160622,8,11769,NARDOS-PARQUE DE LOS CASTILLOS,,S,,,,,,U,28,007,00701,0070101,02480,Calle,los,Nardos,N,89,,,28925,02,030,,T007152,0070101004,7,5,B1,2,007-007,650,,559-3,2,3,20010621,19010101,,431710,4467796,T,,NARDOS-PARQUE DE LOS CASTILLOS,,,,1321,8,347444,92007,2,2,1,11769,*,,22,TI,I,NARDOS-PARQUE DE LOS CASTILLOS,28,007,ALCORCON,B1,Calle los Nardos N 89,20120423,20120511,,351.7527,15,9,_,28,007,9__2__007__-_2_IT_1_8_11769_*__TI_I_22,-,2007201,NARDOS-PARQUE DE LOS CASTILLOS,9__2__007_,9__2__007__2007201_2_IT_1,8_11769,8_11769_*,8_11769_
24,8_11768,20160622,8,11768,NARDOS-TULIPANES,,S,,,,,,U,28,007,00701,0070101,02480,Calle,los,Nardos,N,87,,,28925,02,030,,T007145,0070101004,7,5,B1,2,007-007,650,,559-3,2,3,20010621,19010101,,431703,4467816,T,,NARDOS-TULIPANES,,,,1320,8,347443,92007,2,1,1,11768,*,,17,TI,I,NARDOS-TULIPANES,28,007,ALCORCON,B1,Calle los Nardos N 87,20120423,20120511,,443.3101,40,9,_,28,007,9__2__007__-_1_IT_1_8_11768_*__TI_I_17,-,2007101,NARDOS-TULIPANES,9__2__007_,9__2__007__2007101_1_IT_1,8_11768,8_11768_*,8_11768_
25,8_11984,20160622,8,11984,PºENRIQUE TIERNO GALVÁN-COLEGIO,,S,,,,,,U,28,161,16101,,00679,Paseo,de,Enrique Tierno Galván,N,23,,,28340,01,,,,,7,4,B3,3,161-005,848,,,2,3,20010621,19010101,,442744,4448892,T,,PºENRIQUE TIERNO GALVÁN-COLEGIO,,,,6196,8,347046,96161,6,1,2,11984,*,,5,TI,I,PºENRIQUE TIERNO GALVÁN-COLEGIO,28,161,VALDEMORO,B3,Paseo de Enrique Tierno Galván N 23,20120307,20120305,,278.4472,40,9,_,28,161,9__6__161__s._1_IT_2_8_11984_*__TI_I_5,s.,6161102,PºENRIQUE TIERNO GALVÁN-COLEGIO,9__6__161_,9__6__161__6161102_1_IT_2,8_11984,8_11984_*,8_11984_
26,8_11985,20160622,8,11985,PºENRIQUE TIERNO GALVÁN-COLEGIO,,S,,,,,,U,28,161,16101,,00679,Paseo,de,Enrique Tierno Galván,N,23,,,28341,01,009,,T1611889,,,4,B3,2,161-008,851,,582-4,2,3,20010621,19010101,,442802,4448922,T,,PºENRIQUE TIERNO GALVÁN-COLEGIO,,,,6200,8,347046,96161,6,1,2,11985,*,,28,TI,I2,PºENRIQUE TIERNO GALVÁN-COLEGIO,28,161,VALDEMORO,B3,Paseo de Enrique Tierno Galván N 23,20120307,20120305,,276.7364,40,9,_,28,161,9__6__161__s._1_IT_2_8_11985_*__TI_I2_28,s.,6161102,PºENRIQUE TIERNO GALVÁN-COLEGIO,9__6__161_,9__6__161__6161102_1_IT_2,8_11985,8_11985_*,8_11985_
27,8_11986,20160622,8,11986,AV.MAR MEDITERRÁNEO-CENTRO COMERCIAL,,S,,,,,,U,28,161,16101,1610101,99999,Avda,del,Mar Mediterráneo,N,40,,,28340,01,001,,,,7,4,B3,3,161-008,851,,,2,3,20010621,19010101,,442301,4448735,T,,AV.MAR MEDITERRÁNEO-CENTRO COMERCIAL,,,,6204,8,354364,92161,2,1,1,11986,*,,7,TI,I,AV.MAR MEDITERRÁNEO-CENTRO COMERCIAL,28,161,VALDEMORO,B3,Avda del Mar Mediterráneo N 40,20150409,20150420,,286.159,13.36,9,_,28,161,9__2__161__-_1_IT_1_8_11986_*__TI_I_7,-,2161101,AV.MAR MEDITERRÁNEO-CENTRO COMERCIAL,9__2__161_,9__2__161__2161101_1_IT_1,8_11986,8_11986_*,8_11986_
28,8_11989,20160622,8,11989,AV.MAR MEDITERRÁNEO-OLIMPO,,S,,,,,,U,28,161,16101,1610101,10044,Avda,del,Mar Mediterráneo,N,72,,,28341,01,008,,T161408,,,4,B3,2,161-009,852,,582-4,2,3,20010621,19010101,,442092,4448580,T,,AV.MAR MEDITERRÁNEO-OLIMPO,,,,6207,8,354364,92161,2,1,1,11989,*,,16,TI,I2,AV.MAR MEDITERRÁNEO-OLIMPO,28,161,VALDEMORO,B3,Avda del Mar Mediterráneo N 72,20150409,20150420,,292.121,40,9,_,28,161,9__2__161__-_1_IT_1_8_11989_*__TI_I2_16,-,2161101,AV.MAR MEDITERRÁNEO-OLIMPO,9__2__161_,9__2__161__2161101_1_IT_1,8_11989,8_11989_*,8_11989_
29,8_11992,20160622,8,11992,AV.MAR MEDITERRÁNEO-MINERVA,,S,,,,,,U,28,161,16101,1610101,10044,Avda,del,Mar Mediterráneo,N,170,,,28340,01,001,,T161286,1610101001,7,4,B3,3,161-009,852,,,2,3,20010621,19010101,,441697,4448053,T,,AV.MAR MEDITERRÁNEO-MINERVA,,,,6212,8,347435,93161,3,1,1,11992,*,,23,TI,I2,AV.MAR MEDITERRÁNEO-MINERVA,28,161,VALDEMORO,B3,Avda del Mar Mediterráneo N 170,20120416,20120504,,409.0495,40,9,_,28,161,9__3__161__-_1_IT_1_8_11992_*__TI_I2_23,-,3161101,AV.MAR MEDITERRÁNEO-MINERVA,9__3__161_,9__3__161__3161101_1_IT_1,8_11992,8_11992_*,8_11992_
30,8_11993,20160622,8,11993,AV.MAR ADRIÁTICO-COLEGIO,,S,,,,,,U,28,161,16101,1610101,C0005,Avda, ,Mar Adriático,N,7,,,28341,01,019,,T1611676,,,4,B3,2,161-010,853,,582-4,2,3,20010621,19010101,,441857,4447833,T,,AV.MAR ADRIÁTICO-COLEGIO,,,,6214,8,347046,96161,6,1,2,11993,*,,20,TI,I2,AV.MAR ADRIÁTICO-COLEGIO,28,161,VALDEMORO,B3,Avda   Mar Adriático N 7,20120307,20120305,,201.9454,40,9,_,28,161,9__6__161__s._1_IT_2_8_11993_*__TI_I2_20,s.,6161102,AV.MAR ADRIÁTICO-COLEGIO,9__6__161_,9__6__161__6161102_1_IT_2,8_11993,8_11993_*,8_11993_
31,8_11994,20160622,8,11994,APOLO-JÚPITER,,S,,,,,,U,28,161,16101,,10053,Calle, ,Apolo,N,25,,,28341,01,008,,T161476,,,4,B3,2,161-009,852,,582-4,2,3,20010621,19010101,,442141,4448093,T,,APOLO-JÚPITER,,,,6217,8,354364,92161,2,1,1,11994,*,,14,TI,I2,APOLO-JÚPITER,28,161,VALDEMORO,B3,Calle   Apolo N 25,20150409,20150420,,510.3764,15,9,_,28,161,9__2__161__-_1_IT_1_8_11994_*__TI_I2_14,-,2161101,APOLO-JÚPITER,9__2__161_,9__2__161__2161101_1_IT_1,8_11994,8_11994_*,8_11994_
32,8_11770,20160622,8,11770,BUDAPEST-HOSPITAL FUNDACIÓN ALCORCÓN,,S,,,,,,U,28,007,00701,0070101,02594,Calle,de,Budapest,N,2,,,28922,01,016,,T0078027,0070101028,7,5,B1,2,007-027,670,,559-3,2,3,20010621,19010101,,429240,4467098,T,,BUDAPEST-HOSPITAL FUNDACIÓN ALCORCÓN,,,,1322,8,335267,91007,1,2,2,11770,*,,8,TI,I,BUDAPEST-HOSPITAL FUNDACIÓN ALCORCÓN,28,007,ALCORCON,B1,Calle de Budapest N 2,20060920,20061002,,314.4668,15,9,_,28,007,9__1__007__ac_2_IT_2_8_11770_*__TI_I_8,ac,1007202,BUDAPEST-HOSPITAL FUNDACIÓN ALCORCÓN,9__1__007_,9__1__007__1007202_2_IT_2,8_11770,8_11770_*,8_11770_
33,8_11776,20160622,8,11776,ABEDULES-SAUCES,,S,,,,,,U,28,007,00701,0070101,02541,Calle,de los,Abedules,N,12,,,28922,04,024,,T007649,0070101033,7,5,B1,2,007-022,665,,559-3,2,3,20010621,19010101,,429000,4465813,T,,ABEDULES-SAUCES,,,,1334,8,347444,92007,2,2,1,11776,*,,7,TI,I,ABEDULES-SAUCES,28,007,ALCORCON,B1,Calle de los Abedules N 12,20120423,20120511,,379.5873,15,9,_,28,007,9__2__007__-_2_IT_1_8_11776_*__TI_I_7,-,2007201,ABEDULES-SAUCES,9__2__007_,9__2__007__2007201_2_IT_1,8_11776,8_11776_*,8_11776_
34,8_11778,20160622,8,11778,SAUCES-HAYAS,,S,,,,,,U,28,007,00701,0070101,02544,Calle,de los,Sauces,N,51,,,28922,04,029,,T007739,,,5,B1,2,007-022,665,,559-3,2,3,20010621,19010101,,428906,4465474,T,,SAUCES-HAYAS,,,,1336,8,347444,92007,2,2,1,11778,*,,6,TI,I,SAUCES-HAYAS,28,007,ALCORCON,B1,Calle de los Sauces N 51,20120423,20120511,,188.7326,15,9,_,28,007,9__2__007__-_2_IT_1_8_11778_*__TI_I_6,-,2007201,SAUCES-HAYAS,9__2__007_,9__2__007__2007201_2_IT_1,8_11778,8_11778_*,8_11778_
35,8_12231,20160622,8,12231,PºJOAQUÍN R.JIMÉNEZ-LOS ALMENDROS,,S,,,,,,Z,28,152,15214,,00486,Paseo,,Joaquín Ruiz Jiménez,N,8,,,28250,01,,,,,9,6,B3,3,152-002,1021,,,2,3,20010621,19010101,,421916,4492089,T,,PºJOAQUÍN R.JIMÉNEZ-LOS ALMENDROS,,,,5979,8,356147,94152,4,1,1,12231,*,,46,TI,I2,PºJOAQUÍN R.JIMÉNEZ-LOS ALMENDROS,28,152,TORRELODONES,B3,Paseo  Joaquín Ruiz Jiménez N 8,20160203,20160222,,282.1746,40,9,_,28,152,9__4__152__-_1_IT_1_8_12231_*__TI_I2_46,-,4152101,PºJOAQUÍN R.JIMÉNEZ-LOS ALMENDROS,9__4__152_,9__4__152__4152101_1_IT_1,8_12231,8_12231_*,8_12231_
