OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,OBJECTID_1,MODO_1,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION_1,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION_1,CODIGOPROVINCIA_1,CODIGOMUNICIPIO_1,MUNICIPIO,CORONATARIFARIA_1,DIRECCION,FECHAALTA_1,FECHAINICIO_1,FECHAFIN_1,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE_1,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
2468,8_07699,20160622,8,07699,GALICIA-CENTRO DE DÍA,,S,,,,,,U,28,058,05801,0580102,A0193,Calle, ,Galicia,N,1,,,28942,06,009,,T05881483,0580102020,7,4,B2,2,058-006,681,,582-1,2,3,20010621,19010101,,431224,4460939,T,,GALICIA-CENTRO DE DÍA,,,,3640,8,308872,92058,2,1,1,07699,*,,4,TI,I,GALICIA-CENTRO DE DÍA,28,058,FUENLABRADA,B2,Calle   Galicia N 1,20010621,19010101,,186.467,13.36,9,_,28,058,9__2__058__-_1_IT_1_8_07699_*__TI_I_4,-,2058101,GALICIA-CENTRO DE DÍA,9__2__058_,9__2__058__2058101_1_IT_1,8_07699,8_07699_*,8_07699_
2469,8_07698,20160622,8,07698,GALICIA-CENTRO DE DÍA,,S,,,,,,U,28,058,05801,0580102,A0193,Calle, ,Galicia,N,2,,,28942,06,008,,T05881402,,,4,B2,2,058-006,681,,582-1,2,3,20010621,19010101,,431240,4460909,T,,GALICIA-CENTRO DE DÍA,,,,3634,8,342226,91058,1,1,1,07698,*,,14,TI,I,GALICIA-CENTRO DE DÍA,28,058,FUENLABRADA,B2,Calle   Galicia N 2,20100510,20100601,,418.583,13.36,9,_,28,058,9__1__058__-_1_IT_1_8_07698_*__TI_I_14,-,1058101,GALICIA-CENTRO DE DÍA,9__1__058_,9__1__058__1058101_1_IT_1,8_07698,8_07698_*,8_07698_
2470,8_07781,20160622,8,07781,LUIS SAUQUILLO-TESILLO,,S,,,,,,U,28,058,05801,0580102,A0259,Calle,de,Leganés,N,2,,,28945,03,004,,T058600,0580102008,7,4,B2,2,058-024,699,,582-1,2,3,20010621,19010101,,432571,4459814,T,,LUIS SAUQUILLO-TESILLO,,,,3567,8,345652,94058,4,1,1,07781,*,,9,TI,I,LUIS SAUQUILLO-TESILLO,28,058,FUENLABRADA,B2,Calle de Leganés N 2,20110912,20110912,,389.7894,15,9,_,28,058,9__4__058__-_1_IT_1_8_07781_*__TI_I_9,-,4058101,LUIS SAUQUILLO-TESILLO,9__4__058_,9__4__058__4058101_1_IT_1,8_07781,8_07781_*,8_07781_
2471,8_07752,20160622,8,07752,MÓSTOLES-HUMILLADERO,,S,,,,92,91,U,28,058,05801,0580102,A0330,Calle,de,Móstoles,N,12,,,28945,03,003,,T058596,0580102008,,4,B2,2,058-018,693,,582-1,2,3,20010621,19010101,,432354,4459840,T,,MÓSTOLES-HUMILLADERO,,,,3511,8,342226,91058,1,1,1,07752,*,,10,TI,I,MÓSTOLES-HUMILLADERO,28,058,FUENLABRADA,B2,Calle de Móstoles N 12,20100510,20100601,,296.9737,15,9,92_91,28,058,9__1__058__-_1_IT_1_8_07752_*__TI_I_10,-,1058101,MÓSTOLES-HUMILLADERO,9__1__058_,9__1__058__1058101_1_IT_1,8_07752,8_07752_*,8_07752_
2472,8_08554,20160622,8,08554,AV.ONU-PARQUE LEVANTE,,S,,,,,,U,28,092,09201,,A0254,Avda,de la,O.N.U.,N,7,,,28936,03,,,,,7,5,B2,3,092-013,791,,581-II,2,3,20010621,19010101,,427567,4464771,T,,AV.ONU-PARQUE LEVANTE,,,,4523,8,348345,91092,1,1,1,08554,*,,19,TI,I,AV.ONU-PARQUE LEVANTE,28,092,MOSTOLES,B2,Avda de la O.N.U. N 7,20120904,20120911,,376.35,13.36,9,_,28,092,9__1__092__-_1_IT_1_8_08554_*__TI_I_19,-,1092101,AV.ONU-PARQUE LEVANTE,9__1__092_,9__1__092__1092101_1_IT_1,8_08554,8_08554_*,8_08554_
2473,8_07734,20160622,8,07734,GRECIA-PORTUGAL,,S,,,,,,U,28,058,05801,,A0206,Calle,de,Grecia,N,28,,,28943,08,,,,,7,4,B2,3,058-022,697,,582-I,2,3,20010621,19010101,,431368,4459497,T,,GRECIA-PORTUGAL,,,,3732,8,308872,92058,2,1,1,07734,*,,14,TI,I,GRECIA-PORTUGAL,28,058,FUENLABRADA,B2,Calle de Grecia N 28,20010621,19010101,,371.8114,-1,9,_,28,058,9__2__058__-_1_IT_1_8_07734_*__TI_I_14,-,2058101,GRECIA-PORTUGAL,9__2__058_,9__2__058__2058101_1_IT_1,8_07734,8_07734_*,8_07734_
2474,8_09286,20160622,8,09286,CTRA.M614-URB.EL PEÑÓN,,S,,,,,,C,28,068,06807,,00698,Calle,,Carretera de los Molinos,N,2,,M-614,28440,01,,21,,,13,6,C1,4,068-001,1160,,508-III,3,7,20010621,19010101,,409150,4505041,T,,CTRA.M614-URB.EL PEÑÓN,,,,4097,8,351699,94068,4,1,2,09286,*,,10,TI,I,CTRA.M614-URB.EL PEÑÓN,28,068,GUADARRAMA,C1,Calle  Carretera de los Molinos N 2,20140217,20140301,,666.5937,70,9,_,28,068,9__4__068__s._1_IT_2_8_09286_*__TI_I_10,s.,4068102,CTRA.M614-URB.EL PEÑÓN,9__4__068_,9__4__068__4068102_1_IT_2,8_09286,8_09286_*,8_09286_
2475,8_09295,20160622,8,09295,CTRA.M614-URB.GUADAMOLINOS,,S,,,,,,C,28,068,06802,,00698,Calle,,Carretera de los Molinos,N,2,,M-614,28440,01,,21,,,13,6,C1,4,068-001,1160,,508-III,4,10,20010621,19010101,,408871,4504345,T,,CTRA.M614-URB.GUADAMOLINOS,,,,4102,8,338136,94068,4,2,1,09295,*,,10,TI,I,CTRA.M614-URB.GUADAMOLINOS,28,068,GUADARRAMA,C1,Calle  Carretera de los Molinos N 2,20080312,20080331,,648.0979,70,9,_,28,068,9__4__068__-_2_IT_1_8_09295_*__TI_I_10,-,4068201,CTRA.M614-URB.GUADAMOLINOS,9__4__068_,9__4__068__4068201_2_IT_1,8_09295,8_09295_*,8_09295_
2476,8_08805,20160622,8,08805,PLAYA DE LA CONCHA-PLAYA FORMENTOR,,S,,,,,,U,28,022,02217,,A0134,Calle, ,Playa de la Concha,N,2,,,28669,01,003,,T02223,,,5,B2,2,022-002,951,,558-2,2,3,20010621,19010101,,425217,4477805,T,,PLAYA DE LA CONCHA-PLAYA FORMENTOR,,,,2089,8,345039,93022,3,2,1,08805,*,,10,TI,I,PLAYA DE LA CONCHA-PLAYA FORMENTOR,28,022,BOADILLA DEL MONTE,B2,Calle   Playa de la Concha N 2,20110517,20110525,,660.1668,-1,9,_,28,022,9__3__022__-_2_IT_1_8_08805_*__TI_I_10,-,3022201,PLAYA DE LA CONCHA-PLAYA FORMENTOR,9__3__022_,9__3__022__3022201_2_IT_1,8_08805,8_08805_*,8_08805_
2477,8_07766,20160622,8,07766,CALLAO-CENTRO DE SALUD,,S,,,,93,290,U,28,058,05801,0580102,A0086,Calle,de,Callao,N,12,,,28945,02,005,,T058457,0580102013,,4,B2,2,058-019,694,,582-1,2,3,20010621,19010101,,433076,4460316,T,,CALLAO-CENTRO DE SALUD,,,,3542,8,308872,92058,2,1,1,07766,*,,32,TI,I2,CALLAO-CENTRO DE SALUD,28,058,FUENLABRADA,B2,Calle de Callao N 12,20010621,19010101,,295.9475,40,9,93_290,28,058,9__2__058__-_1_IT_1_8_07766_*__TI_I2_32,-,2058101,CALLAO-CENTRO DE SALUD,9__2__058_,9__2__058__2058101_1_IT_1,8_07766,8_07766_*,8_07766_
2478,8_07769,20160622,8,07769,AV.ESTADOS-EST.PARQUE DE LOS ESTADOS,,S,,,,93,290,U,28,058,05801,0580102,A0158,Avda,de los,Estados,N,8,,,28945,02,006,,T05881331,0580102013,,4,B2,2,058-019,694,,582-1,2,3,20010621,19010101,,433117,4460115,T,,AV.ESTADOS-EST.PARQUE DE LOS ESTADOS,,,,3546,8,308872,92058,2,1,1,07769,*,,31,TI,I2,AV.ESTADOS-EST.PARQUE DE LOS ESTADOS,28,058,FUENLABRADA,B2,Avda de los Estados N 8,20010621,19010101,,553.2644,40,9,93_290,28,058,9__2__058__-_1_IT_1_8_07769_*__TI_I2_31,-,2058101,AV.ESTADOS-EST.PARQUE DE LOS ESTADOS,9__2__058_,9__2__058__2058101_1_IT_1,8_07769,8_07769_*,8_07769_
