OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
2840,6,283691,131,131,1,1,2801,*,,6,TI,I,AV.POBLADOS-PRISION,28,079,MADRID,A,Avda de los Poblados SN SN,19991221,19861001,,456.2908,-1,6,_,,,6__131_A____1_IT_1_6_2801_*__TI_I_6,,,,6__131_A__,6__131_A____1_IT_1,6_2801,6_2801_*,6_2801_
2841,6,283719,121,121,1,1,2801,*,,11,TI,I,AV.POBLADOS-PRISION,28,079,MADRID,A,Avda de los Poblados SN SN,19991221,19920515,,456.2908,-1,6,_,,,6__121_____1_IT_1_6_2801_*__TI_I_11,,,,6__121___,6__121_____1_IT_1,6_2801,6_2801_*,6_2801_
2842,6,283679,139,139,1,1,2801,*,,17,TI,I,AV.POBLADOS-PRISION,28,079,MADRID,A,Avda de los Poblados SN SN,19991221,19871201,,456.2908,-1,6,_,,,6__139_____1_IT_1_6_2801_*__TI_I_17,,,,6__139___,6__139_____1_IT_1,6_2801,6_2801_*,6_2801_
2843,6,283691,131,131,1,1,2803,*,,8,TI,I,AV.POBLADOS-EUGENIA DE MONTIJO,28,079,MADRID,A,Avda de los Poblados SN SN,19991221,19861001,,504.276,30,6,_,,,6__131_A____1_IT_1_6_2803_*__TI_I_8,,,,6__131_A__,6__131_A____1_IT_1,6_2803,6_2803_*,6_2803_
2844,6,283719,121,121,1,1,2803,*,,13,TI,I,AV.POBLADOS-EUGENIA DE MONTIJO,28,079,MADRID,A,Avda de los Poblados SN SN,19991221,19920515,,504.276,30,6,_,,,6__121_____1_IT_1_6_2803_*__TI_I_13,,,,6__121___,6__121_____1_IT_1,6_2803,6_2803_*,6_2803_
2845,6,283679,139,139,1,1,2803,*,,19,TI,I,AV.POBLADOS-EUGENIA DE MONTIJO,28,079,MADRID,A,Avda de los Poblados SN SN,19991221,19871201,,504.276,,6,_,,,6__139_____1_IT_1_6_2803_*__TI_I_19,,,,6__139___,6__139_____1_IT_1,6_2803,6_2803_*,6_2803_
2846,6,283691,131,131,1,1,2804,*,,9,TI,I,AV.POBLADOS-EUGENIA DE MONTIJO,28,079,MADRID,A,Avda de los Poblados N 84,19991221,19861001,,154.5983,-1,6,_,,,6__131_A____1_IT_1_6_2804_*__TI_I_9,,,,6__131_A__,6__131_A____1_IT_1,6_2804,6_2804_*,6_2804_
2847,6,283962,047,47,2,1,2804,*,,8,TI,I,AV.POBLADOS-EUGENIA DE MONTIJO,28,079,MADRID,A,Avda de los Poblados N 84,19991221,19960210,,247.5882,-1,6,_,,,6__47_A____2_IT_1_6_2804_*__TI_I_8,,,,6__47_A__,6__47_A____2_IT_1,6_2804,6_2804_*,6_2804_
2848,6,283719,121,121,1,1,2804,*,,14,TI,I,AV.POBLADOS-EUGENIA DE MONTIJO,28,079,MADRID,A,Avda de los Poblados N 84,19991221,19920515,,154.5983,-1,6,_,,,6__121_____1_IT_1_6_2804_*__TI_I_14,,,,6__121___,6__121_____1_IT_1,6_2804,6_2804_*,6_2804_
2849,6,283751,114,114,1,1,2738,*,,13,TI,I,JOSEFA VALCARCEL-GUTIERREZ CANALES,28,079,MADRID,A,Calle de Josefa Valcárcel SN SN,19991221,19900523,,737.929,13.36,6,_,,,6__114_____1_IT_1_6_2738_*__TI_I_13,,,,6__114___,6__114_____1_IT_1,6_2738,6_2738_*,6_2738_
2850,6,284275,115,115,1,1,2738,*,,4,TI,I,JOSEFA VALCARCEL-GUTIERREZ CANALES,28,079,MADRID,A,Calle de Josefa Valcárcel SN SN,19991221,20000110,,2183.3885,21.773,6,_,,,6__115_____1_IT_1_6_2738_*__TI_I_4,,,,6__115___,6__115_____1_IT_1,6_2738,6_2738_*,6_2738_
