OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
2979,6,352083,107,107,1,1,1666,*,,18,TI,I,AV.SAN LUIS-PZA.SANTOS HUMOSA,28,079,MADRID,A,Avda de San Luis N 18,20140325,20140325,,193.4009,14.972,6,_,,,6__107_____1_IT_1_6_1666_*__TI_I_18,,,,6__107___,6__107_____1_IT_1,6_1666,6_1666_*,6_1666_
2980,6,352083,107,107,1,1,1667,*,,21,TI,I,SANTA SUSANA-MAR DE LAS ANTILLAS,28,079,MADRID,A,Calle de Santa Susana N 2B,20140325,20140325,,270.5856,0,6,_,,,6__107_____1_IT_1_6_1667_*__TI_I_21,,,,6__107___,6__107_____1_IT_1,6_1667,6_1667_*,6_1667_
2981,6,335659,502,N2,1,1,1668,*,,34,TI,I,SANTA SUSANA Nº8,28,079,MADRID,A,Calle de Santa Susana N 8,20061128,20060930,,294.5492,-1,6,93_291,,,6_N_502_____1_IT_1_6_1668_*__TI_I_34,,,,6_N_502___,6_N_502_____1_IT_1,6_1668,6_1668_*,6_1668_
2982,6,352083,107,107,1,1,1668,*,,22,TI,I,SANTA SUSANA Nº8,28,079,MADRID,A,Calle de Santa Susana N 8,20140325,20140325,,220.1604,0,6,93_291,,,6__107_____1_IT_1_6_1668_*__TI_I_22,,,,6__107___,6__107_____1_IT_1,6_1668,6_1668_*,6_1668_
2983,6,335659,502,N2,1,1,1669,*,,35,TI,T,STA.ADELA-MAR DE LAS ANTILLAS,28,079,MADRID,A,Calle de Santa Adela N 12,20061128,20060930,,377.048,13.36,6,_,,,6_N_502_____1_IT_1_6_1669_*__TI_T_35,,,,6_N_502___,6_N_502_____1_IT_1,6_1669,6_1669_*,6_1669_
2984,6,335660,502,N2,2,1,1669,*,,1,TI,T,STA.ADELA-MAR DE LAS ANTILLAS,28,079,MADRID,A,Calle de Santa Adela N 12,20061128,20060930,,0,0,6,_,,,6_N_502_____2_IT_1_6_1669_*__TI_T_1,,,,6_N_502___,6_N_502_____2_IT_1,6_1669,6_1669_*,6_1669_
2985,6,352083,107,107,1,1,1669,*,,24,TI,T,STA.ADELA-MAR DE LAS ANTILLAS,28,079,MADRID,A,Calle de Santa Adela N 12,20140325,20140325,,222.604,,6,_,,,6__107_____1_IT_1_6_1669_*__TI_T_24,,,,6__107___,6__107_____1_IT_1,6_1669,6_1669_*,6_1669_
2986,6,352084,107,107,2,1,1669,*,,1,TI,T,STA.ADELA-MAR DE LAS ANTILLAS,28,079,MADRID,A,Calle de Santa Adela N 12,20140325,20140325,,0,0,6,_,,,6__107_____2_IT_1_6_1669_*__TI_T_1,,,,6__107___,6__107_____2_IT_1,6_1669,6_1669_*,6_1669_
2987,6,335660,502,N2,2,1,1670,*,,2,TI,I,MAR DE LAS ANTILLAS-ABARZUZA,28,079,MADRID,A,Calle del Mar de las Antillas N 25,20061128,20060930,,275.8937,14.461,6,_,,,6_N_502_____2_IT_1_6_1670_*__TI_I_2,,,,6_N_502___,6_N_502_____2_IT_1,6_1670,6_1670_*,6_1670_
2988,6,352084,107,107,2,1,1670,*,,2,TI,I,MAR DE LAS ANTILLAS-ABARZUZA,28,079,MADRID,A,Calle del Mar de las Antillas N 25,20140325,20140325,,275.8937,15.052,6,_,,,6__107_____2_IT_1_6_1670_*__TI_I_2,,,,6__107___,6__107_____2_IT_1,6_1670,6_1670_*,6_1670_
2989,6,330724,125,125,1,1,1671,*,,9,TI,I,AV.SAN LUIS-COSTA DEL SOL,28,079,MADRID,A,Avda de San Luis SN SN,19991221,20010616,,213.647,16.87,6,93_228,,,6__125_____1_IT_1_6_1671_*__TI_I_9,,,,6__125___,6__125_____1_IT_1,6_1671,6_1671_*,6_1671_
2990,6,335883,172,172,1,1,1671,*,,9,TI,I,AV.SAN LUIS-COSTA DEL SOL,28,079,MADRID,A,Avda de San Luis SN SN,20070209,20070131,,213.647,16.611,6,93_228,,,6__172_____1_IT_1_6_1671_*__TI_I_9,,,,6__172___,6__172_____1_IT_1,6_1671,6_1671_*,6_1671_
